-aikainen	-áigásâš
-alainen	-vuálásâš
-hahmoinen	-hámásâš
-hajuinen	-haajâg
-hiuksinen	-vuoptâg
-huoneinen	-loonjâg
-häntäinen	-seeibâg
-ikäinen	-ahasâš
-jalkainen	-juálgálâš
-kertainen	-kiärdán
-kertaisesti	-kiärdásávt
-kielinen	-kielâlâš
-kin	-uv
-kulmainen	-čievâg
-kä	-ge
-lainen	-lágán
-levyinen	kobdo
-niminen	-nommâsâš
-painoinen	-loso
-päiväinen	-piäiválâš
-rahoitteinen	-ruttâdlâš
-sydäminen	-váimusâš
-tuumainen	-tuumásâš
-vuotias	-ihásâš
-vuotinen	-ivvááš
-ääninen	-jienâsâš
-öinen	-ijjâsâš
aakkosjärjestys	puustavoornig
aakkostaa	orniđ
aallokko	párudâh
aallonmurtaja	párutuáijee
aallonpituus	párukukkodâh
aallota	párustiđ
aalto	pááru
aaltoileva	párudeijee
aaltoilla	párudiđ
aaltosulku	párutopâldâh
aamen	aamen
aamiainen	iđedâs
aamu	iiđeed
aamuaurinko	iđedispiäiváš
aamuhartaus	iiđeedrukkoos
aamuhetki	iiđeedpuddâ
aamuhämärä	iđedâsveigi
aamuinen	iiđeedlâš
aamukaste	ijjâkässi
aamunkoi	iiđeedkuávsui
aamupala	iđedâs
aamupuoli	iiđeedpeeli
aamupäivä	iđedâs-
aamurukous	iiđeedrukkoos
aamurusko	iđedâskuávsui
aamuvarhain	aarriiđeed
aamuvirkku	murriš
aamuyö	iđedisijjâ
aapasuo	äpijeggi
aapinen	aabis
aari	aari
aarnialue	luánduviđá
aarnihauta	aarnihävdi
aarniometsä	luánduviđá
aarre	aarni
aarrehauta	aarnihävdi
aarteenvartija	čáhálig
aasialainen	aasialâš
aataminomena	ááddámoomeen
aate	juurdâ
aatelinen	aatellâš
aateloida	aatelistiđ
aateluus	aatellâšvuotâ
aatteellinen	juurdâlâš
aatto	áptu
aave	komme
aavikko	čunoiääpi
aavikoitua	äpiluđ
aavikoituminen	äpilum
aavistaa	avâštiđ
aavistamaton	aavâštmettum
aavistella	avâštâllâđ
aavistus	avâštâs
abiturientti	abiturient
abortti	aaboort
absoluuttinen	absoluutlâš
abstrakti	abstraktâ
adjektiivi	adjektiiv
adoptio	adoptio
adoptiolapsi	adoptiopärni
adoptoida	adoptiđ
adventti	advent
aforismi	aforismâ
afrikkalainen	afriklâš
aggregaatti	aggregaat
aggressiivinen	aggressijvâlâš
ah	kah
ahavoitua	áváduđ
ahavoitunut	ávádum
ahdas	äätis
ahdinko	pačarâs
ahdistaa	atâštiđ
ahdistua	atâštuđ
ahdistus	atâštâs
aherrus	iäljáruššâm
ahertaa	iäljáruššâđ
ahjo	áhju
ahkera	viššâl
ahkeroida	äŋgirâššâđ
ahkeruus	älšši
ahkio	kerris
ahmaista	hurtádiđ
ahmia	hurttođ
ahne	äänhis
ahneesti	vuávdáht
ahnehtia	ánhástuššâđ
ahnehtiva	vuovnâlâš
ahneus	änhisvuotâ
aho	kieddi
ahtaa	nutkâđ
ahtaasti	kääržiht
ahtaus	kärživuotâ
ahtauttaa	káržudiđ
ahteri	moonjiikeeči
ahtojää	morrumjieŋâ
ahvenanmaalainen	ålandlâš
aidanmutka	äiđimokke
aidanvieri	äiđipaldâ
aidas	ääiđis
aidata	áiđuđ
aie	aaigâ
aiemmin	ovdâlist
aiempi	ovdebâš
aihe	fáddá
aiheellinen	ášálâš
aiheeton	äšittem
aiheuttaa	tovâttiđ
aiheutua	šoddâđ
aihio	hammiittâs
aihkimänty	aikkâ
aikaansaada	uážžuđ
