SUOMEN_HAKSUOMEN_YHD SUOMEN_HA2 SUOMEN_J_L	SAAMEN_HAKSAAMEN_YHD  SAAMEN_TAI  SAAMEN_RIN  ESIMERKIT JA MUITA HAKUSANAAN LIITTYVIÄ SANOJA  	SAAMEN_HAK	SUOMEN_HAK	SAAMEN_RIN	ESIMERKIT JA MUITA HAKUSANAAN LIITTYVIÄ SANOJA	SAAMEN_YHD	SUOMEN_YHD	SAAMEN_TAI	SUOMEN_HA2	SUOMEN_J_L
aakkoset  (mon.)	puustaveh    (mon.)    	puustaveh	aakkoset	(mon.)						(mon.)
aakkosjärjestys  	puustavoornig        	puustav	aakkos			oornig	järjestys			
aakkostaa  	orniđ puustavij mild        	orniđ 	aakkostaa			puustavij mild				
aallokko  	páRudâh  páRuduv,  párustâh párustuv    	páRudâh	aallokko	párustâh párustuv				páRuduv,		
aallonmurtaja  	páRutuái'jee        	páRu	aallon			tuái'jee	murtaja			
aallonpituus  	páRukukkodâh  -kukkoduv      	páRu	aallon			kukkodâh	pituus	-kukkoduv		
aallota  	párustiđ  páárust      	párustiđ	aallota					páárust		
aalto  	pááRu  pááru ~ páro,  sijgâ siijgâ, nuvgâ nuuvgâ;  (aallota, lyödä rantaan) keerrâđ kiäRá; (lyödä rantaan erit. yksittäisistä aalloista) si'jgâdiđ sijgâd; (aallota äänekkäästi) skulččeđ skulččá  	pááRu	aalto	sijgâ siijgâ, nuvgâ nuuvgâ;	(aallota, lyödä rantaan) keerrâđ kiäRá; (lyödä rantaan erit. yksittäisistä aalloista) si'jgâdiđ sijgâd; (aallota äänekkäästi) skulččeđ skulččá			pááru ~ páro,		
aaltoileva  	parruu  # -s      	parruu	aaltoileva					# -s		
aaltoilla  	páRudiđ  páárrud,  párustiđ páárust, páRudâllâđ páRudâl; (erit. yksittäisistä aalloista) si'jgâdiđ sijgâd; (äänekkäästi) skulččeđ skulččá; (lyödä rantaan) keerrâđ kiäRá    	páRudiđ	aaltoilla	párustiđ páárust, páRudâllâđ páRudâl; (erit. yksittäisistä aalloista) si'jgâdiđ sijgâd; (äänekkäästi) skulččeđ skulččá; (lyödä rantaan) keerrâđ kiäRá				páárrud,		
aaltoilu  (tuulenpuuskan aiheuttama)	raMe  rame,  raameeg    	raMe	aaltoilu	raameeg				rame,		(tuulenpuuskan aiheuttama)
aaltosulku  	páRutopâldâh  -topâlduv      	páRu	aalto			topâldâh	sulku	-topâlduv		
aamen  	aamen        	aamen	aamen							
aamiainen  	iđedâs,    iiđeedpittá -pitá, iđedâsmäälis -máállás~-máállâs, iđedâspurrâmuš    	iđedâs,	aamiainen	iiđeedpittá -pitá, iđedâsmäälis -máállás~-máállâs, iđedâspurrâmuš						
aamu  	iiđeed,    (koko aamu ajanjaksona) iiđeedpaJe -paje;  (aamulla) iđedist; (aamuksi) iđedân  	iiđeed,	aamu	(koko aamu ajanjaksona) iiđeedpaJe -paje;	(aamulla) iđedist; (aamuksi) iđedân					
aamuaurinko  	iđedispiäiváš  -piäi'váá      	iđedis	aamu			piäiváš	aurinko	-piäi'váá		
aamuhartaus  	iiđeedrukkoos        	iiđeed	aamu			rukkoos	hartaus			
aamuhetki  	iiđeedpuddâ  -puudâ      	iiđeed	aamu			puddâ	hetki	-puudâ		
aamuhämärä  	iđedâsveigi  -veeigi      	iđedâs	aamu			veigi	hämärä	-veeigi		
aamuinen  	iiđeedlâš  iiđeedlii      	iiđeedlâš	aamuinen					iiđeedlii		
aamukaste  	ijjâkässi  -kääsi      	ijjâ	aamu			kässi	kaste	-kääsi		
aamunkoi  	iiđeedkuávsui  -kuok'suu      	iiđeed	aamun			kuávsui	koi	-kuok'suu		
aamupala  	iđedâs,    iiđeedpittá -pitá, iđedâsmäälis -máállás~-máállâs, iđedâspurrâmuš    	iđedâs,	aamu	iiđeedpittá -pitá, iđedâsmäälis -máállás~-máállâs, iđedâspurrâmuš			pala			
aamupuoli  	iiđeedpeeLi  -pele;    (aamupuoleen) iiđeedpiäLán  	iiđeed	aamu		(aamupuoleen) iiđeedpiäLán	peeLi	puoli	-pele;		
aamupäivä  	iđedâs-~ iđedispeivi  -peeivi;    (aamupäivällä) iđedâspeeivi  	iđedâs-~ iđedis	aamu		(aamupäivällä) iđedâspeeivi	peivi	päivä	-peeivi;		
aamurukous  	iiđeedrukkoos        	iiđeed	aamu			rukkoos	rukous			
aamurusko  	iđedâskuávsui  -kuok'suu,  kuávsui kuok'suu, iđedâsruáĐi -ruáđi    	iđedâs	aamu	kuávsui kuok'suu, iđedâsruáĐi -ruáđi		kuávsui	rusko	-kuok'suu,		
aamu-uutiset  (mon.)	iiđeeduđđâseh  (mon.)      	iiđeed	aamu			uđđâseh	-uutiset	(mon.)		(mon.)
aamuvarhain  	aarriiđeed;      (aamun valjetessa) kuá'vsuikeeJist; (aamunkoitteessa) iiđeedláá; (aamutuimaan) tooláá iđedist  	aarr	aamu		(aamun valjetessa) kuá'vsuikeeJist; (aamunkoitteessa) iiđeedláá; (aamutuimaan) tooláá iđedist	iiđeed;	varhain			
aamuvirkku  	mooriš  morriš      	mooriš	aamu				virkku	morriš		
aamuyö  	iđedisijjâ  -iijâ      	iđedis	aamu			ijjâ	yö	-iijâ		
aapa(suo)  	äpijeggi  -jeegi      	äpi	aapa(suo)			jeggi		-jeegi		
aapasara  Carex rotundata	jurbâluhtee        	jurbâ	aapa			luhtee	sara			Carex rotundata
aapinen  	aabis,    aabiskirje -ki'rje    	aabis,	aapinen	aabiskirje -ki'rje						
aari  	aari        	aari	aari							
aarni(o)metsä  	luánduviđá  vyev'di,  álgâ- ~ álguvyev'di -vyevdi    	luándu	aarni(o)	álgâ- ~ álguvyev'di -vyevdi		viđá	metsä	vyev'di,		
aarnialue  	luánduviđá vyev'dikuáv'lu        	luándu	aarni			viđá vyev'dikuáv'lu	alue			
aarnihauta  	aarnihävdi  -häävdi      	aarni	aarni			hävdi	hauta	-häävdi		
aarre  	aarni        	aarni	aarre							
aarrehauta  	aarnihävdi  -häävdi      	aarni	aarre			hävdi	hauta	-häävdi		
aarteenvartija  	čáhálig        	čáhálig	aarteen				vartija			
aarto (arttukatos)  	árdu  áárdu      	árdu	aarto				 (arttukatos)	áárdu		
aasi  Equus asinus	aasi        	aasi	aasi							Equus asinus
aasialainen  	aasialâš  aasialii      	aasialâš	aasialainen					aasialii		
aataminomena  	ááddámoomeen        	ááddám	aatamin			oomeen	omena			
aate  	juurdâ  jurduu,  idea    	juurdâ	aate	idea				jurduu,		
aatelinen  	aatellâš  aatellii      	aatellâš	aatelinen					aatellii		
aateloida  	aatelistiđ  aatelistám      	aatelistiđ	aateloida					aatelistám		
aateluus  	aatellâšvuotâ  aatellâšvuođâ      	aatellâšvuotâ	aateluus					aatellâšvuođâ		
aatteellinen  	juurdâlâš  juurdâlii;  (idealistinen) idealistlâš idealistlii    	juurdâlâš	aatteellinen	(idealistinen) idealistlâš idealistlii				juurdâlii;		
aatto  	áptu  ááptu      	áptu	aatto					ááptu		
aava (adj.)  	viijđes  vijđá # vi'jđes      	viijđes	aava (adj.)					vijđá # vi'jđes		
aava (meren)  	ääpi  äävi      	ääpi	aava (meren)					äävi		
aave  	komme  koMe,  kuMâttâs    	komme	aave	kuMâttâs				koMe,		
aavikko  	čunoiääpi  -äävi,  koškeääpi    	čunoi	aavikko	koškeääpi		ääpi		-äävi,		
aavikkohaukka  Falco cherrug	čunoiäpivälli  -vääLi      	čunoi	aavikko			äpivälli	haukka	-vääLi		Falco cherrug
aavikkojuoksija  Cursorius cursor	čunoiäpinjaldee        	čunoi	aavikko			äpinjaldee	juoksija			Cursorius cursor
aavikkotasku  Oenanthe deserti	čunoiäpirástágâš  -rástágáá      	čunoi	aavikko			äpirástágâš	tasku	-rástágáá		Oenanthe deserti
aavikkotylli  Charadrius leschenaultii	čunoiäpipuVáduvvâš  -puVáduvváá      	čunoi	aavikko			äpipuVáduvvâš	tylli	-puVáduvváá		Charadrius leschenaultii
aavikoitua  	äpiluđ        	äpiluđ	aavikoitua							
aavikoituminen  	äpilum,    ápáilum    	äpilum,	aavikoituminen	ápáilum						
aavistaa  	avâštiđ  aavâšt      	avâštiđ	aavistaa					aavâšt		
aavistamaton  	aavâštmettum        	aavâštmettum	aavistamaton							
aavistella  	avâštâllâđ  avâštâlâm,  kuo'mâdiđ kuomâd    	avâštâllâđ	aavistella	kuo'mâdiđ kuomâd				avâštâlâm,		
aavistus  	avâštâs,    kuommâm, ulme u'lme    	avâštâs,	aavistus	kuommâm, ulme u'lme						
abiturientti  	abiturient  abiturieenti      	abiturient	abiturientti					abiturieenti		
abortti  	aaboort        	aaboort	abortti							
absoluuttinen  	absoluutlâš  absoluutlii      	absoluutlâš	absoluuttinen					absoluutlii		
abstrakti  	abstraktâ  abstraavtâ,  abstrakt    	abstraktâ	abstrakti	abstrakt				abstraavtâ,		
adagio  (mus.)	kuuloold        	kuuloold	adagio							(mus.)
adjektiivi  	adjektijvâ  adjektiijvâ,  adjektiiv    	adjektijvâ	adjektiivi	adjektiiv				adjektiijvâ,		
