SUOMI	SÄMIKIELÂ UUCÂMSÄÄNI	SAAMEN_HAK	SUOMEN_HAK	SAAMEN_RIN	ESIMERKKEJÄ JA LIITTYVIÄ ILMAUKSIA	SAAMEN_YHD	SUOMEN_YHD	SAAMEN_TAI	SUOMEN_HA2	SUOMEN_J_L
aakkosjärjestys  	puustavoornig        	puustav	aakkos			oornig	järjestys			
aakkostaa  	orniđ puustavij mild        	orniđ 	aakkostaa			puustavij mild				
aallokko  	páRudâh  páRuduv,  párustâh párustuv    	páRudâh	aallokko	párustâh párustuv				páRuduv,		
aallonmurtaja  	páRutuái'jee        	páRu	aallon			tuái'jee	murtaja			
aallonpituus  	páRukukkodâh  -kukkoduv      	páRu	aallon			kukkodâh	pituus	-kukkoduv		
aallota  	párustiđ  páárust      	párustiđ	aallota					páárust		
aalto  	pááRu  pááru ~ páro,  sijgâ siijgâ, nuvgâ nuuvgâ;  (aallota, lyödä rantaan) keerrâđ kiäRá; (lyödä rantaan erit. yksittäisistä aalloista) si'jgâdiđ sijgâd; (aallota äänekkäästi) skulččeđ skulččá  	pááRu	aalto	sijgâ siijgâ, nuvgâ nuuvgâ;	(aallota, lyödä rantaan) keerrâđ kiäRá; (lyödä rantaan erit. yksittäisistä aalloista) si'jgâdiđ sijgâd; (aallota äänekkäästi) skulččeđ skulččá			pááru ~ páro,		
aaltoileva  	párudeijee  # -s      	párudeijee	aaltoileva					# -s		
aaltoilla  	páRudiđ  páárrud,  párustiđ páárust, páRudâllâđ páRudâl; (erit. yksittäisistä aalloista) si'jgâdiđ sijgâd; (äänekkäästi) skulččeđ skulččá; (lyödä rantaan) keerrâđ kiäRá    	páRudiđ	aaltoilla	párustiđ páárust, páRudâllâđ páRudâl; (erit. yksittäisistä aalloista) si'jgâdiđ sijgâd; (äänekkäästi) skulččeđ skulččá; (lyödä rantaan) keerrâđ kiäRá				páárrud,		
aaltoilu  (tuulenpuuskan aiheuttama)	raMe  rame,  raameeg    	raMe	aaltoilu	raameeg				rame,		(tuulenpuuskan aiheuttama)
aaltosulku  	páRutopâldâh  -topâlduv      	páRu	aalto			topâldâh	sulku	-topâlduv		
aamen  	aamen        	aamen	aamen							
aamiainen  	iđedâs,    iiđeedpittá -pitá, iđedâsmäälis -máállás~-máállâs, iđedâspurrâmuš    	iđedâs,	aamiainen	iiđeedpittá -pitá, iđedâsmäälis -máállás~-máállâs, iđedâspurrâmuš						
aamu  	iiđeed,    (koko aamu ajanjaksona) iiđeedpaJe -paje;  (aamulla) iđedist; (aamuksi) iđedân  	iiđeed,	aamu	(koko aamu ajanjaksona) iiđeedpaJe -paje;	(aamulla) iđedist; (aamuksi) iđedân					
aamuaurinko  	iđedispiäiváš  -piäi'váá      	iđedis	aamu			piäiváš	aurinko	-piäi'váá		
aamuhartaus  	iiđeedrukkoos        	iiđeed	aamu			rukkoos	hartaus			
aamuhetki  	iiđeedpuddâ  -puudâ      	iiđeed	aamu			puddâ	hetki	-puudâ		
