fin	pos	smn1	smn2	smn3	smn4	smn5	ex	exj
vuotias	A	ihásâš						
ulkomainen	A	olgoeennâmlâš						
turha	A	tušše						
vastainen	A	vuástásâš						
kiinnostunut	A	perustum						
hämäläinen	A	hámálâš						
vähäinen	A	ucce	uces					
tamperelainen	A	tamperelâš						
mukainen	A	miäldásâš						
turkulainen	A	turgulâš						
ranskalainen	A	ranskalâš						
ammattilainen	A	áámmátlâš						
yhteiskunnallinen	A	ohtsâškodálâš						
ulkopuolinen	A	ulguupiälásâš						
raju	A	koorâs						
mittainen	A	mittosâš						
sotilaallinen	A	suáldátlâš						
takainen	A	tuávááš	tyehi-					
pohjoismainen	A	tave-eennâmlâš						
pitkäaikainen	A	kuhesáigásâš						
ulkomaalainen	A	olgoeennâmlâš						
olennainen	A	kuávdáš						
keskimääräinen	A	koskâmiärálâš						
moderni	A	moodeern	uđđâáigásâš					
mittava	A	merhâšittee						
läntinen	A	viestârbel						
minkäänlainen	A	maggaargin						
palestiinalainen	A	palestiinalâš						
kielteinen	A	kieldee						
niminen	A	nommâsâš						
suuruinen	A	stuárusâš						
rankka	A	koorâs	lussâd					
ikäinen	A	ahasâš						
synkkä	A	ahheev	sevŋâd					
uudenlainen	A	uđđâlágán						
brittiläinen	A	brittilâš						
tervetullut	A	tiervâpuáttám						
itäinen	A	uárjáábel						
jyväskyläläinen	A	jyväskylälâš						
vuotinen	A	ihásâš						
ulkopuolinen	A	ulguupiälásâš						
huima	A	koorâs	merhâšittee	jotteel				
savolainen	A	savolâš						
kiinalainen	A	kiijnalâš						
kapinallinen	A	stuimáá	stuimálâs					
lähin	A	aldemus						
huikea	A	koorâs	merhâšittee	jotteel				
länsimainen	A	viestâreennâmlâš						
virolainen	A	virolâš						
oululainen	A	oululâš						
varhainen	A	tooláá						
innostunut	A	movtáskâm						
yhdysvaltalainen	A	ovtâstumstaatâlâš						
joensuulainen	A	joensuulâš						
moinen	A	tieggáár						
kultainen	A	kolláá						
lappalainen	A	lappalâš						
oleellinen	A	kuávdáš						
luonteva	A	luándulâš						
realistinen	A	realistlâš						
ruotsinkielinen	A	ruotâkielâlâš	ruotâkielâg					
keski-ikäinen	A	koskâahasâš						
humanitaarinen	A	humanitáárlâš						
uskomaton	A	oskomettum						
oiva	A	muddáág	hiäivulâš					
alin	A	vyelemus						
tamminen	A	tammisâš						
mennyt	A	moonnâm						
oululainen	A	oululâš						
yliopistollinen	A	ollâopâttâhlâš						
kyseenalainen	A	koččâmušvuálásâš						
kanadalainen	A	kanadalâš						
sveitsiläinen	A	sveiccilâš						
lahjakas	A	čeppi	kirjálâš	utkáá				
hyvinkääläinen	A	hyvinkäälâš						
strateginen	A	strategisâš						
peräkkäinen	A	maŋalâs						
korkeatasoinen	A	ollâtááság						
ranskalainen	A	ranskalâš						
kohtalainen	A	viehâ						
vauhdikas	A	farttii						
vuosittainen	A	ihásâš						
moraalinen	A	mooraallâš						
ulkopoliittinen	A	olgopooliitlâš						
aulis	A	läđisváimulâš	šievtátulâš					
liberaali	A	liberaal						
luterilainen	A	luuteerlâš						
maksuton	A	nuuvtá						
olematon	A	midettem	midáttem					
palestiinalainen	A	palestiinalâš						
kiihkeä	A	kieres						
seksuaalinen	A	seksuaallâš						
kiloinen	A	kilusâš						
senttinen	A	senttisâš						
virolainen	A	virolâš						
kommunistinen	A	kommunistlâš						
pikainen	A	jotteel						
viereinen	A	paldâlâs						
vaisu	A	joskâd						
radikaali	A	radikaal						
australialainen	A	australialâš						
legendaarinen	A	legendaarisâš						
tulopoliittinen	A	puátupooliitlâš						
perättäinen	A	maŋalâs						
romanttinen	A	romantlâš						
kilpailukykyinen	A	kištottâllâmnavcâlâs						
israelilainen	A	israellâš						
musiikillinen	A	muusiklâš						
kohtalokas	A	uhkedeijee	koddee	jiegâtuálvoo	jiegâtuálvum	jämimântuálvoo		
karu	A	ävđee	ävđin-	kievhi	pääljis			
loputon	A	loppâmettum						
vakinainen	A	fastâ						
vastaavanlainen	A	västideijee						
myöhäinen	A	mannjeed						
mieluisa	A	mielâsâš						
belgialainen	A	belgialâš						
persoonallinen	A	persovnlâš						
keskisuuri	A	koskâstuárusâš						
kokoomuslainen	A	kokoomuslâš						
sosiaalidemokraattinen	A	sosiaaldemokraatlâš						
turkkilainen	A	turkkilâš						
biologinen	A	biologisâš						
tämänhetkinen	A	tááláš	taankiärdásâš	onnáš				
tasokas	A	ollâtááság						
lääketieteellinen	A	taalhâstieđâlâš						
mielekäs	A	mielâsâš						
äänioikeutettu	A	jienâvuoigâlâš						
tyyppinen	A	tijppâsâš						
keskisuomalainen	A	koskâsyemmilâš						
päällimmäinen	A	pajemus						
keskustalainen	A	kuávdášpiäládâhlâš						
tapainen	A	táávááš						
sunnuntainen	A	pasepiäivásâš						
yksityiskohtainen	A	tärkki	tievâslâš	vuáđulâš				
viimeaikainen	A	uuđâs	tááláš	kieskâd tábáhtum				
sekava	A	moiváá						
valittu	A	väljejum						
kulttuurinen	A	kulttuurlâš						
puolisotilaallinen	A	pelisuáldátlâš						
liiallinen	A	lijge-					Alkoholin liiallinen käyttö ei ole terveellistä.	Alkohol lijgekulâttem ij lah tiervâslâš. 
pohjoiskarjalainen	A	tavekärjillâš						
ennätyksellinen	A	ulâttâslâš						
englanninkielinen	A	eŋgâlâskielâg						
puolalainen	A	puolalâš						
otollinen	A	šiev	rievtis	hiäivulâš	pyeri			
puoleinen	A	piälááš						
kaksivuotinen	A	kyevtihásâš						
muhkea	A	merhâšittee	stuorrâsiähá	styeres				
keskisuomalainen	A	koskâsyemmilâš						
maineikas	A	pegâlmâs	peeggâlm					
nimekäs	A	peeggâlm	pegâlmâs					
oiva	A	eromâš						
tyly	A	epiustevlâš	koolmâs	váimuttem	ármuttem	korrâváimusâš		
kiinalainen	A	kiinalâš						
traaginen	A	traagisâš						
puolinen	A	piälááš						
paikkainen	A	páikkásâš						
talouspoliittinen	A							
raikas	A							
lauantainen	A	lávvárdâhlâš						
vaikutusvaltainen	A	vaiguttemváldálâš						
unkarilainen	A	uŋgarlâš						
samainen	A	siämmáš						
kainulainen	A	kainulâš						
huima	A	merhâšittee	koorâs					
turvallisuuspoliittinen	A	torvolâšpooliitlâš						
visuaalinen	A	visuaallâš						
nuorsuomalainen	A	nuorâsyemmilâš						
maanantainen	A	vuossargâsâš						
oivallinen	A	eromâš						
kiireellinen	A	huápulâš						
tiistainen	A	majebargâsâš						
ammattimainen	A	áámmátlágán						
torstainen	A	tuorâstâhlâš						
tämänkertainen	A	taankiärdásâš						
asianmukainen	A	ääšimiäldásâš						
kreikkalainen	A	kreikkalâš						
syvällinen	A	čieŋŋâl						
puinen	A	muorâ-		muorâkukse				
menestyksekäs	A	miänástuvvee						
työläs	A	áijáá						
teknillinen	A	teknisâš						
perjantainen	A	vástuppiäivásâš						
miehinen	A	maskuliinlâš						
optimistinen	A	optimistlâš	optimistisâš					
armas	A	räähis						
kelpo	A	šiev	pyeri					
teoreettinen	A	teoreetlâš						
liittokohtainen	A	littokuáhtásâš						
tappiollinen	A	tápulâš						
jäseninen	A	jeessânsâš						
oikeistolainen	A	uálgispiäládâhlâš						
oikeudellinen	A	vuoigâlâš						
porvarillinen	A	puárvárlâš						
syrjäinen	A	tuárispel		tuárispel kuávlu				
tämmöinen	A	tággáár						
rauhanomainen	A	sovâlâš	rávhálâš					
psykologinen	A	psykologisâš						
kolmivuotinen	A	kuulmâihásâš						
ihanteellinen	A	ideaallâš	eromâš	pyeri				
luottavainen	A	luáttávâš						
diplomaattinen	A	diplomaatlâš						
kuopiolainen	A	kuopiolâš						
sinivalkoinen	A	čuovjisvielgâd						
keskiviikkoinen	A	koskokkosâš						
brasilialainen	A	brasilialâš						
mekaaninen	A	meekaanlâš						
kolminkertainen	A	kuulmâkiärdásâš						
vastakkainen	A	vuástásâš						
kurja	A	surgâd						
kuulu	A	pegâlmâs						
ankea	A	surgâd	ahheev					
täkäläinen	A	taanbel						
verovapaa	A	viäruttem						
taannoinen	A	toovláš						
sankka	A	suohâd						
epätoivoinen	A	epituáivulâš						
konservatiivinen	A	konservatiivlâš						
monikansallinen	A	maaŋgâaalmuglâš						
elintärkeä	A	čuuvtij tehelâš						
harkinnanvarainen	A							
savolainen	A	savolâš						
hienoinen	A	mottoommuđusâš	mottoomlágán					
potentiaalinen	A	potentiaallâš						
porilainen	A	porilâš						
ripeä	A	jotteel						
mieto	A	läivi						
osa-aikainen	A	uásiáigásâš						
periaatteellinen	A	prinsiplâš						
pohjoiskarjalainen	A	tavekärjillâš						
mustavalkoinen	A	čapisvielgâd						
antoisa	A	ávhálâš						
mystinen	A	mystisâš						
hillitty	A	vyeligâš	läivi					
sivuinen	A	sijđosâš						
kiintoisa	A	perustittee						
mieleinen	A	mielâsâš						
riittämätön	A	rijttáámettum						
salaperäinen	A	syeligâs						
kouluikäinen	A	škovlâahasâš						
isänmaallinen	A	eejieennâmlâš						
tämänkaltainen	A	taansullâsâš						
espoolainen	A	espoolâš						
totinen	A	tuođâlâš						
akuutti	A	aakuut						
tasoinen	A	tááság						
viisivuotias	A	viiđâihásâš						
työikäinen	A	pargoahasâš						
kamala	A	kaavhâd						
tamperelainen	A	tamperelâš						
lupaava	A	lopedeijee						
kotoinen	A	pääihilágán						
hajanainen	A	pieđgânâddee						
samantapainen	A	siämmáásullâsâš						
kertainen	A	kiärdásâš						
naispuolinen	A	nissoon-						
vasemmistolainen	A	čižetpiäládâhlâš						
joensuulainen	A	joensuulâš						
moninainen	A	maaŋgâmuđusâš	maaŋgâlágán					
passiivinen	A	passiivisâš						
muotoinen	A	hámásâš						
viisikymppinen	A	viđâlovihásâš						
läntinen	A	viestârbel-						
intiimi	A	intiim						
yleishyödyllinen	A	almolávt ávhálâš						
aluepoliittinen	A	kuávlupooliitlâš						
tasapuolinen	A	täsipiälásâš						
liika	A	lijge						
olemassaoleva	A	tááláš	vyeimistleijee					
suomenruotsalainen	A	suomâruátálâš						
taktinen	A	taktisâš						
ideologinen	A	ideologisâš						
juhlava	A	juhle-						
lahtelainen	A	lahtilâš						
latvialainen	A	latvialâš						
asiantunteva	A	äššitobdee						
ekaluokkalainen	A	vuosâluokkalâš						
maaginen	A	maagisâš						
ukrainalainen	A	ukrainalâš						
kolmipäiväinen	A	kuulmâpiäivásâš						
irakilainen	A	iraklâš						
jättimäinen	A	jietânâs-						
argentiinalainen	A	argentiinalâš						
laaja-alainen	A	viijđes						
arvovaltainen	A	árvuváldálâš						
hintainen	A	haddasâš						
kultainen	A	kolláá						
samansuuntainen	A	siämmáásundásâš						
perinteikäs	A	ärbivuáválâš						
maantieteellinen	A	eennâmtieđâlâš						
älytön	A	mielâttem						
kenialainen	A	kenialâš						
keveä	A	keppis						
tuntuinen	A	tobdosâš						
tämäntyyppinen	A	taansullâsâš						
muovinen	A	lastik-						
tukala	A	pakkâ						
karmea	A	kaavhâd	hirmos					
